Time,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
12/5 ~ 12/15,Utah Jazz,5,2,3,0.4,48,105.6,38.6,84.6,45.6,9.6,30.2,31.8,18.8,25,75.2,10,34.8,44.8,25,15,10.8,4,5.2,21,23.2,5,105.8,100.8,5,64.8,1.67,18.2,25.9,76.9,51.1,15,51.3,55.2,99.8,54.9
12/5 ~ 12/15,Washington Wizards,5,1,4,0.2,49,115.2,43.2,90,48,11.8,33.6,35.1,17,23.4,72.6,7.6,29,36.6,27.6,12,7,3.4,4.2,21.8,21.6,-4.2,112.1,116.1,-4.1,63.9,2.3,19.6,21.4,70.4,44.9,11.7,54.6,57.4,100.7,46.3
12/15 ~ 12/25,Atlanta Hawks,2,1,1,0.5,48,122.5,42,82,51.2,13,30.5,42.6,25.5,32,79.7,10.5,30.5,41,30.5,19,6.5,5,2,25.5,26.5,-4.5,119.5,122.7,-3.2,72.6,1.61,20.8,31,70.2,51.4,18.5,59.1,63.7,103,48.4
12/15 ~ 12/25,Boston Celtics,2,0,2,0,48,103.5,38.5,89.5,43,12,36,33.3,14.5,18.5,78.4,10.5,30,40.5,22.5,15,12,9.5,6.5,21,20,-8.5,102.5,110.3,-7.9,58.4,1.5,16.4,25.7,60.8,43,14.9,49.7,53,101.25,46.8
12/15 ~ 12/25,Brooklyn Nets,3,3,0,1,48,118.3,42.3,84.3,50.2,12.7,33,38.4,21,25.7,81.8,7,34.3,41.3,28,13,6.7,3,4.7,17.7,21,8.3,118.3,110,8.3,66.1,2.15,20.3,23.5,74.8,50.2,13,57.7,61.9,100,54.3
12/15 ~ 12/25,Charlotte Hornets,2,1,1,0.5,48,105,43,92,46.7,8.5,27,31.5,10.5,13.5,77.8,11,33.5,44.5,23,15.5,3.5,5.5,6,16.5,19,-8.5,104.5,112.9,-8.5,53.5,1.48,16.8,26.5,77.4,50.8,15.4,51.4,53.6,100.5,44
12/15 ~ 12/25,Chicago Bulls,3,1,2,0.333,48,95.7,38.3,87.3,43.9,6.7,23.3,28.6,12.3,15.7,78.7,10,30,40,19,14.3,9.7,6.7,3,24.3,17.7,-7.7,98,106.9,-8.9,49.6,1.33,14.6,28.9,71.8,48.9,14.7,47.7,50.8,97.17,43.9
12/15 ~ 12/25,Cleveland Cavaliers,3,1,2,0.333,48,98.7,40,88,45.5,9.3,28,33.3,9.3,14,66.7,7.3,32.3,39.7,23.7,11.3,7.7,3.7,7.7,18,14.7,-11,103.1,115.4,-12.3,59.2,2.09,18.3,22.4,67.6,44.7,11.8,50.8,52.4,95.33,43.8
12/15 ~ 12/25,Dallas Mavericks,3,0,3,0,48,117.3,41,91.3,44.9,11.3,33.3,34,24,31.3,76.6,12.7,31,43.7,24,11.3,7.3,2,5,21.7,26.3,-6.3,114.7,121.6,-7,58.5,2.12,16.8,30.2,72.4,49.3,11.1,51.1,55.8,102,46.2
12/15 ~ 12/25,Denver Nuggets,2,2,0,1,48,110.5,43,87.5,49.1,11,29.5,37.3,13.5,17,79.4,11,34.5,45.5,27,12.5,7,3.5,2.5,21,16.5,8.5,116.3,105.7,10.6,62.8,2.16,20.1,26.4,72.8,51,13.2,55.4,58.2,95.75,55.4
12/15 ~ 12/25,Detroit Pistons,3,2,1,0.667,49.7,115.3,41.3,87.3,47.3,14.7,37.7,38.9,18,26,69.2,9.3,36.3,45.7,25.3,16.3,5.3,3.7,6,22,23.7,4,110.9,106.7,4.2,61.3,1.55,17.8,25.5,74.7,51.1,15.7,55.7,58.4,100.67,50.5
12/15 ~ 12/25,Golden State Warriors,2,1,1,0.5,48,106.5,37.5,90,41.7,11,31,35.5,20.5,22.5,91.1,8,37,45,20.5,11,10,7,5,20,19.5,6,104.4,98,6.4,54.7,1.86,15.4,19.6,77.7,48.1,10.8,47.8,53.3,102.25,51.3
12/15 ~ 12/25,Houston Rockets,4,3,1,0.75,48,110.5,35.8,81.5,43.9,17.3,45.8,37.7,21.8,26.8,81.3,7.8,31.5,39.3,22.3,14,8,3.5,4,22.5,20,7.3,112.2,105.4,6.8,62.2,1.59,17,22.3,71.6,47,14.2,54.4,59.2,98.25,50.8
12/15 ~ 12/25,Indiana Pacers,3,1,2,0.333,48,99,38.3,86.7,44.2,8.3,25.3,32.9,14,20,70,11.3,37.3,48.7,22.7,15,7.3,6.7,5,17,18,2.3,102.1,100,2.1,59.1,1.51,16.8,30.3,70.9,51.3,15.5,49,51.9,96.83,52.7
12/15 ~ 12/25,LA Clippers,3,1,2,0.333,48,118.7,42.3,80.3,52.7,9.7,24,40.3,24.3,30.7,79.3,8.3,32,40.3,23.7,16.7,5.7,3.3,3.7,23.3,27.3,-2,117.1,117.9,-0.8,55.9,1.42,17.5,25.2,71,50,16.4,58.7,63.2,101.83,50.4
12/15 ~ 12/25,Los Angeles Lakers,3,1,2,0.333,48,116,45,91,49.5,12.7,36.7,34.5,13.3,21.7,61.5,8.7,39,47.7,26.3,17.3,9.3,5.3,5,17.3,16.7,1.7,107.7,106.2,1.5,58.5,1.52,18.1,25.3,77.4,52.5,16.1,56.4,57.7,107.67,51.6
12/15 ~ 12/25,Memphis Grizzlies,3,0,3,0,48,94,36.3,77.3,47,7,25,28,14.3,18,79.6,6.3,31,37.3,22,15,8.7,6.7,3.7,22,21.3,-10.7,100.4,111,-10.6,60.6,1.47,17.8,18.6,74.6,46.7,16,51.5,55.1,94,47.1
12/15 ~ 12/25,Miami Heat,2,2,0,1,48,101.5,37,92,40.2,9.5,37,25.7,18,28.5,63.2,21,38,59,22,14,6,4,4,19.5,22.5,4,109.7,104.8,4.9,59.5,1.57,15.4,46.7,74.3,59.8,15.1,45.4,48.5,92.75,51.3
12/15 ~ 12/25,Milwaukee Bucks,2,2,0,1,48,115,43.5,86.5,50.3,11,29,37.9,17,22.5,75.6,7,35.5,42.5,29.5,12.5,9.5,6.5,4.5,18.5,21,5.5,113.3,107.4,5.9,67.8,2.36,21.1,19.1,75.2,48.9,12.3,56.6,59.6,101.75,55.9
12/15 ~ 12/25,Minnesota Timberwolves,3,1,2,0.333,49.7,118,44,98.3,44.7,8.7,31.7,27.4,21.3,26,82.1,11,38.3,49.3,28.3,9.7,9.3,5,4.3,23.3,24.7,4.3,111.3,108.3,3.1,64.4,2.93,18.9,28.7,77.5,52.6,9.1,49.2,53.7,101.96,55.2
